magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
6.7,2,3,0,1,691,9,0,3.745,23.0,8,550.0,-18.3604,-178.063
7.5,8,8,2,0,2026,9,0,1.649,13.0,8,20.0,-0.2559,119.846
6.5,4,1,0,0,651,9,0,5.139,18.0,8,576.0,-25.415,178.199
6.9,3,4,0,0,735,9,0,2.785,18.0,8,115.0,-31.7447,-179.373
6.5,3,6,0,1,651,9,0,1.638,25.0,8,68.0,-10.0207,161.503
7.9,7,4,0,1,979,9,0,1.431,12.0,8,670.81,-18.4743,179.35
6.6,8,9,1,1,1075,9,0,1.13,32.0,8,35.0,42.6861,141.929
7.1,2,5,0,1,776,9,0,2.548,23.0,8,21.43,-22.0295,170.126
7.1,0,3,0,0,776,9,0,3.77,12.0,8,630.0,-11.0355,-70.8284
6.5,6,7,0,1,652,9,0,4.797,10.0,8,9.0,-16.0315,168.143
7.3,8,6,3,1,1570,9,0,1.822,15.0,8,146.82,10.7731,-62.9019
6.9,7,7,0,0,1206,9,0,2.453,31.0,8,21.0,-8.319,116.627
8.2,5,4,0,1,1050,9,0,3.63,13.0,8,600.0,-18.1125,-178.153
6.5,5,3,0,0,743,9,0,2.719,23.0,8,529.0,-7.3718,119.802
6.5,6,6,0,1,655,9,0,0.576,22.0,8,33.93,51.4234,-178.026
6.9,9,8,1,0,1704,9,0,2.271,15.0,8,34.0,-8.2581,116.438
6.9,7,8,3,1,1392,4,63,0.11,210.0,5,5.81,19.3182,-155.0
6.8,5,3,0,0,733,9,0,5.32,16.0,8,559.0,-20.6588,-63.0058
6.9,9,6,0,1,741,9,0,1.487,18.0,8,35.0,-5.5321,151.5
6.7,5,6,0,1,696,9,0,1.507,15.0,8,40.0,-5.5024,151.402
6.8,6,6,0,1,719,9,0,1.049,16.0,8,22.86,-4.3762,153.2
6.7,8,7,0,1,697,9,0,5.457,19.0,8,20.49,-6.3043,142.612
7.5,9,8,3,1,943,9,0,5.48,17.0,8,25.21,-6.0699,142.754
7.2,7,7,3,1,1384,9,0,0.142,82.0,8,22.0,16.3855,-97.9787
7.9,9,4,0,1,1870,9,0,2.585,30.0,8,14.06,56.0039,-149.166
7.1,9,7,0,1,1075,9,0,4.29,23.0,8,39.0,-15.7675,-74.7092
7.5,8,5,0,1,1623,9,0,4.581,12.0,8,19.0,17.4825,-83.52
6.5,8,7,0,0,998,9,0,2.365,28.0,8,90.0,-7.4921,108.174
6.5,1,5,0,1,651,9,0,17.654,23.0,8,17.0,-54.2189,2.1628
7.0,4,6,0,1,771,9,0,0.617,14.0,8,10.0,-21.3246,168.671
6.6,4,5,0,1,676,9,0,0.529,21.0,8,13.0,-21.5027,168.598
6.5,8,8,3,1,1153,9,0,0.225,37.0,8,19.36,9.5147,-84.4865
7.3,8,9,2,0,2790,9,0,0.284,33.0,8,19.0,34.9109,45.9592
6.5,6,5,0,1,661,9,0,4.449,10.0,8,110.57,-4.2433,143.485
6.8,5,5,0,1,727,9,0,4.852,21.0,8,10.0,-15.3197,-173.168
6.6,3,5,0,1,674,9,0,0.788,29.0,8,22.0,-21.6484,168.859
6.7,3,4,0,1,691,9,0,1.062,55.0,8,24.0,-21.6971,169.148
6.7,3,3,0,0,694,9,0,1.634,16.0,8,553.81,-7.2168,123.074
6.5,3,5,0,1,651,9,0,1.154,11.0,8,119.0,52.3909,176.769
7.1,9,8,0,0,1686,9,0,0.984,23.0,8,48.0,18.5499,-98.4887
8.2,9,7,2,1,2910,9,0,0.944,22.0,8,47.39,15.0222,-93.8993
6.5,5,7,3,0,707,9,0,11.411,22.0,8,9.0,33.1926,103.855
6.6,7,7,3,0,1064,9,0,0.913,16.0,8,7.0,36.9293,27.4139
7.7,8,7,0,1,918,9,0,3.564,13.0,8,10.0,54.4434,168.857
6.6,5,4,0,1,704,9,0,3.773,37.0,8,10.0,-49.4837,164.016
6.5,9,8,3,1,740,9,0,4.139,30.0,8,9.0,11.1269,124.629
6.8,6,6,3,1,1034,9,0,1.065,38.0,8,38.12,13.7174,-90.9718
6.9,8,6,3,1,1188,9,0,0.247,35.0,8,93.0,14.9091,-92.0092
6.8,0,4,0,1,711,9,0,2.308,12.0,8,5.0,54.0312,170.92
6.6,7,7,0,0,678,9,0,2.353,18.0,8,12.0,-1.2923,120.431
6.5,0,4,0,1,650,9,0,6.489,17.0,8,15.0,-56.414,-25.7432
6.8,6,5,0,1,713,9,0,7.495,19.0,8,169.0,-14.5884,167.377
6.9,9,6,0,1,814,9,0,1.636,14.0,8,26.0,5.5043,125.066
6.9,9,7,3,1,1642,9,0,0.356,39.0,8,28.0,-33.0375,-72.0617
6.5,7,8,0,0,1297,9,0,2.36,15.0,8,29.0,-22.6784,25.1558
6.6,6,7,3,1,671,9,0,4.591,14.0,8,17.0,56.9401,162.786
6.9,2,3,0,1,733,9,0,6.012,19.0,8,414.5,-23.2593,-178.804
6.5,3,3,0,0,653,9,0,4.242,14.0,8,595.98,-19.2814,-63.9047
6.5,8,7,3,1,718,9,0,2.822,36.0,8,15.0,9.9071,125.452
7.9,9,7,3,1,987,9,0,3.625,9.0,8,135.0,-6.2464,155.172
6.5,6,6,0,1,654,9,0,1.64,21.0,8,36.0,-10.3506,161.335
7.3,6,3,0,1,849,9,0,3.813,18.0,8,627.17,4.4782,122.617
6.9,6,4,0,1,742,9,0,2.495,13.0,8,12.0,-19.3733,176.052
7.6,9,8,3,1,1152,9,0,0.355,29.0,8,38.0,-43.4064,-73.9413
6.7,5,5,0,0,726,9,0,3.38,17.0,8,152.0,-7.5082,127.921
7.9,9,7,3,1,972,9,0,1.389,13.0,8,94.54,-4.5049,153.522
6.9,8,6,0,1,737,9,0,1.747,26.0,8,19.73,-10.749,161.132
6.5,0,5,0,0,650,9,0,1.937,18.0,8,12.26,-10.8416,161.314
7.8,9,8,0,1,961,9,0,1.836,13.0,8,40.0,-10.6812,161.327
6.6,5,4,0,1,1120,9,0,1.405,55.0,8,8.45,40.4535,-126.194
6.5,9,8,3,0,731,9,0,0.778,27.0,8,13.0,5.2834,96.1678
6.6,8,7,0,0,693,9,0,1.697,20.0,8,17.0,39.2732,73.9776
6.9,5,4,0,1,855,9,0,1.796,20.0,8,10.0,11.9097,-88.8968
6.9,9,6,0,1,1144,9,0,0.671,10.0,8,9.0,37.3931,141.387
6.5,7,7,3,1,664,9,0,0.283,56.0,8,9.0,-42.6058,173.254
6.5,6,7,3,1,656,9,0,0.135,58.0,8,10.0,-42.3205,173.669
7.8,9,9,1,1,1545,9,0,0.481,21.0,8,15.11,-42.7373,173.054
6.6,9,8,2,0,2840,9,0,0.174,25.0,8,8.0,42.8621,13.0961
6.6,3,3,0,0,677,9,0,2.022,16.0,8,614.0,-4.8626,108.163
6.8,3,6,0,1,716,9,0,3.727,11.0,8,42.0,-6.0033,148.887
6.9,2,3,0,1,733,9,0,4.051,9.0,8,596.4,-19.7819,-178.244
7.0,5,6,0,1,897,9,0,0.698,21.0,8,19.0,-37.3586,179.146
6.8,4,3,0,1,713,9,0,0.803,12.0,8,476.0,-3.6849,152.792
6.8,6,6,3,0,981,9,0,1.802,17.0,8,82.0,20.9228,94.569
7.2,6,5,0,1,799,9,0,4.823,14.0,8,16.37,-22.4765,173.117
7.7,5,6,0,1,971,9,0,3.294,14.0,8,196.0,18.5429,145.507
6.6,4,6,0,0,671,9,0,2.435,16.0,8,50.0,-2.0967,100.665
7.2,1,6,0,1,798,9,0,5.803,24.0,8,78.0,-56.2409,-26.9353
6.9,3,3,0,1,733,9,0,5.485,19.0,8,405.69,-21.9724,-178.204
6.9,8,7,0,1,780,9,0,1.192,17.0,8,29.95,0.4947,-79.616
6.7,5,7,0,1,744,9,0,1.352,21.0,8,16.0,0.4261,-79.7899
7.0,7,7,0,1,755,9,0,0.616,14.0,8,24.0,-16.0429,167.379
7.8,9,9,1,1,1163,9,0,1.44,15.0,8,20.59,0.3819,-79.9218
7.0,9,9,2,1,2074,9,0,0.349,32.0,8,10.0,32.7906,130.754
