magnitude,date_time,alert,tsunami,depth,latitude,longitude
6.6,12,0,1,8.45,40.4535,-126.194
6.5,12,3,0,13.0,5.2834,96.1678
6.6,11,0,0,17.0,39.2732,73.9776
6.9,11,0,1,10.0,11.9097,-88.8968
6.9,11,0,1,9.0,37.3931,141.387
6.5,11,3,1,9.0,-42.6058,173.254
6.5,11,3,1,10.0,-42.3205,173.669
7.8,11,1,1,15.11,-42.7373,173.054
6.6,10,2,0,8.0,42.8621,13.0961
6.6,10,0,0,614.0,-4.8626,108.163
6.8,10,0,1,42.0,-6.0033,148.887
6.9,9,0,1,596.4,-19.7819,-178.244
7.0,9,0,1,19.0,-37.3586,179.146
6.8,8,0,1,476.0,-3.6849,152.792
6.8,8,3,0,82.0,20.9228,94.569
7.2,8,0,1,16.37,-22.4765,173.117
7.7,7,0,1,196.0,18.5429,145.507
6.6,6,0,0,50.0,-2.0967,100.665
7.2,5,0,1,78.0,-56.2409,-26.9353
6.9,5,0,1,405.69,-21.9724,-178.204
6.9,5,0,1,29.95,0.4947,-79.616
6.7,5,0,1,16.0,0.4261,-79.7899
7.0,4,0,1,24.0,-16.0429,167.379
7.8,4,1,1,20.59,0.3819,-79.9218
7.0,4,2,1,10.0,32.7906,130.754
6.9,4,3,0,136.0,23.0944,94.8654
6.6,4,0,0,212.0,36.4725,71.1311
6.7,4,0,1,27.59,-13.9805,166.594
6.7,4,0,1,24.0,-14.0683,166.624
6.9,4,0,1,26.0,-14.3235,166.855
7.8,3,0,0,24.0,-4.9521,94.3299
7.2,1,0,1,177.0,53.9776,158.546
7.1,1,0,1,125.6,59.6204,-153.339
6.6,1,0,1,10.0,18.8239,-106.934
6.7,1,0,1,46.0,41.9723,142.781
6.5,1,0,1,13.0,3.8965,126.862
6.7,1,1,0,55.0,24.8036,93.6505
6.6,12,0,1,85.0,15.8015,-93.633
6.9,12,0,0,21.0,-4.1064,129.508
7.2,12,0,0,22.0,38.2107,72.7797
6.7,11,0,0,602.75,-9.1825,-71.2574
7.6,11,0,0,620.56,-10.0598,-71.0184
7.6,11,0,1,606.21,-10.5372,-70.9437
6.8,11,0,1,12.59,-8.8994,158.422
6.5,11,1,0,11.0,38.67,20.6
6.7,11,0,0,12.0,31.0009,128.873
6.9,11,0,0,10.0,-29.5097,-72.0585
6.9,11,0,1,12.0,-29.5067,-72.0068
6.6,11,0,0,10.0,6.8431,94.648
6.8,11,0,1,46.0,-30.8796,-71.4519
6.5,11,0,0,20.0,-8.3381,124.875
7.5,10,1,0,231.0,36.5244,70.3676
7.1,10,0,1,135.0,-14.8595,167.303
6.6,9,0,0,18.0,-0.6212,131.262
6.6,9,0,1,35.0,-31.7275,-71.3792
6.7,9,0,0,23.0,-31.5173,-71.804
6.5,9,0,0,27.0,-31.4244,-71.6876
7.0,9,0,0,28.41,-31.5622,-71.4262
8.3,9,1,1,22.44,-31.5729,-71.6744
6.7,9,0,1,10.0,24.913,-109.623
6.5,8,0,1,6.43,-9.3293,157.877
6.6,8,0,1,22.0,-9.3438,158.053
7.0,7,0,1,48.0,-2.6286,138.528
6.9,7,0,1,29.0,52.376,-169.446
7.0,7,0,1,11.0,-10.4012,165.141
6.5,7,0,1,20.0,13.8672,-58.5479
6.7,7,0,1,12.0,-9.307,158.403
6.5,6,0,0,460.0,27.7375,139.725
7.8,5,0,1,664.0,27.8386,140.493
6.8,5,0,1,72.6,56.594,-156.43
6.8,5,0,1,10.0,-11.1093,163.215
6.9,5,0,1,11.19,-11.0559,163.696
6.8,5,0,1,11.0,-10.8759,164.169
6.8,5,0,1,35.0,38.9056,142.032
7.3,5,1,0,15.0,27.8087,86.0655
7.1,5,0,1,10.0,-7.2175,154.557
7.5,5,0,1,55.0,-5.4624,151.875
6.8,5,0,1,44.0,-5.2005,151.777
6.7,4,0,1,31.0,-5.375,151.771
6.7,4,3,0,22.91,27.7711,86.0173
6.6,4,3,0,10.0,28.2244,84.8216
7.8,4,2,0,8.22,28.2305,84.7314
6.5,4,0,1,10.0,-15.8815,-178.6
6.5,3,0,1,11.0,-15.4994,-173.029
7.5,3,0,1,41.0,-4.7294,152.562
